"SampleID",SampleType,SampleSource,Host/SampleName,CollectionDate,CollectorName,CollectionMethod,CollectionDepth_cm,Latitude,Longitude,Elevation,DNAExtractionProtocol,ExtractorName,ExtractionDate,FwdPrimer,RevPrimer,AmplicationDate,LibraryPrepDate,DNAConcentration [ng/uL],LibraryMethod,FwdBarcode,RevBarcode,Library-Run_Name,SampleDescription,Project_Name,Plate,PlateLocation,SequencingRun_Name,Burned,BurnYear,Diet,ActivityLevel,Age,Gender,Ethnicity,WeeklyChewTobacco,WeeklyAlcohol,WeeklyCigarettes,WeeklyVape,WeeklyDrugs
"WS-21-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23532538,36.06605252,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B508,i7_B701,,Woolsey_Wet_Prairie_WS_21.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-21-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23538361,36.0660233,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B501,i7_B702,,Woolsey_Wet_Prairie_WS_21.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-22-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23544998,36.06597075,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B502,i7_B702,,Woolsey_Wet_Prairie_WS_22.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-22-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23523474,36.06594518,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B503,i7_B702,,Woolsey_Wet_Prairie_WS_22.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-22-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23522501,36.06591877,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B504,i7_B702,,Woolsey_Wet_Prairie_WS_22.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-22-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23540086,36.0658765,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B505,i7_B702,,Woolsey_Wet_Prairie_WS_22.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-22-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23543799,36.065878,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B506,i7_B702,,Woolsey_Wet_Prairie_WS_22.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-23-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.2350706,36.06603183,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B507,i7_B702,,Woolsey_Wet_Prairie_WS_23.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-23-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23511543,36.06599576,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B508,i7_B702,,Woolsey_Wet_Prairie_WS_23.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-23-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23506129,36.06590671,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B501,i7_B703,,Woolsey_Wet_Prairie_WS_23.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-23-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23491222,36.06597581,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B502,i7_B703,,Woolsey_Wet_Prairie_WS_23.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-23-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23496005,36.06587482,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B503,i7_B703,,Woolsey_Wet_Prairie_WS_23.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-24-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23543992,36.065692,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B504,i7_B703,,Woolsey_Wet_Prairie_WS_24.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-24-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23536884,36.06582329,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B505,i7_B703,,Woolsey_Wet_Prairie_WS_24.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-24-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23530766,36.06571572,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B506,i7_B703,,Woolsey_Wet_Prairie_WS_24.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-24-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23530329,36.06568399,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B507,i7_B703,,Woolsey_Wet_Prairie_WS_24.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-24-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23525672,36.06562315,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B508,i7_B703,,Woolsey_Wet_Prairie_WS_24.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-25-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23518216,36.06587132,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B501,i7_B704,,Woolsey_Wet_Prairie_WS_25.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-25-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23521968,36.06582204,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B502,i7_B704,,Woolsey_Wet_Prairie_WS_25.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-25-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23510162,36.06577288,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B503,i7_B704,,Woolsey_Wet_Prairie_WS_25.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-25-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23517643,36.06575241,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B504,i7_B704,,Woolsey_Wet_Prairie_WS_25.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-25-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23513373,36.06570149,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B505,i7_B704,,Woolsey_Wet_Prairie_WS_25.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-26-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23502837,36.06571671,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B506,i7_B704,,Woolsey_Wet_Prairie_WS_26.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-26-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23500762,36.06571616,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B507,i7_B704,,Woolsey_Wet_Prairie_WS_26.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-26-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.2348702,36.0658829,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B508,i7_B704,,Woolsey_Wet_Prairie_WS_26.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-26-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23483268,36.06575448,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B501,i7_B705,,Woolsey_Wet_Prairie_WS_26.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-26-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23483845,36.06566475,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B502,i7_B705,,Woolsey_Wet_Prairie_WS_26.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-27-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23478517,36.06563037,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B503,i7_B705,,Woolsey_Wet_Prairie_WS_27.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-27-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23478967,36.06569784,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B504,i7_B705,,Woolsey_Wet_Prairie_WS_27.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-27-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23464776,36.06565633,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B505,i7_B705,,Woolsey_Wet_Prairie_WS_27.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-27-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23463386,36.06563068,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B506,i7_B705,,Woolsey_Wet_Prairie_WS_27.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-27-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23453254,36.06565448,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B507,i7_B705,,Woolsey_Wet_Prairie_WS_27.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-28-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23472268,36.06596197,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B508,i7_B705,,Woolsey_Wet_Prairie_WS_28.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-28-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23472464,36.06590286,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B501,i7_B706,,Woolsey_Wet_Prairie_WS_28.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-28-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23465657,36.06595847,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B502,i7_B706,,Woolsey_Wet_Prairie_WS_28.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-28-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23465065,36.06586717,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B503,i7_B706,,Woolsey_Wet_Prairie_WS_28.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-28-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23486262,36.06596107,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B504,i7_B706,,Woolsey_Wet_Prairie_WS_28.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-29-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23461751,36.06583323,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B505,i7_B706,,Woolsey_Wet_Prairie_WS_29.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-29-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23454312,36.06577723,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B506,i7_B706,,Woolsey_Wet_Prairie_WS_29.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-29-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23447705,36.065785,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B507,i7_B706,,Woolsey_Wet_Prairie_WS_29.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-29-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23437526,36.06579133,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B508,i7_B706,,Woolsey_Wet_Prairie_WS_29.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-29-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.234726,36.06582912,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B501,i7_B707,,Woolsey_Wet_Prairie_WS_29.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-30-1-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23425252,36.06574262,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B502,i7_B707,,Woolsey_Wet_Prairie_WS_30.1_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-30-2-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.2344213,36.06563418,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B503,i7_B707,,Woolsey_Wet_Prairie_WS_30.2_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-30-3-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23434985,36.06564462,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B504,i7_B707,,Woolsey_Wet_Prairie_WS_30.3_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-30-4-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23427983,36.06565889,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B505,i7_B707,,Woolsey_Wet_Prairie_WS_30.4_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-30-5-B",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23421468,36.06566511,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,515f-Next,806r-Next,2018-11-18,2018-11-19,,2-Step PCR,i5_B506,i7_B707,,Woolsey_Wet_Prairie_WS_30.5_B,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-1-1-F",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23410343,36.06571648,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,ITS1f-Next,ITS2-Next,2018-12-01,,,2-Step PCR,i5_A501,i7_B701,,Woolsey_Wet_Prairie_WS_1.1_F,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-1-2-F",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.23405722,36.06576949,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,ITS1f-Next,ITS2-Next,2018-12-01,,,2-Step PCR,i5_A502,i7_B701,,Woolsey_Wet_Prairie_WS_1.2_F,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WS-1-3-F",Environmental,Soil,Woolsey Wet Prairie,?,Faye Smith,Top 10 cm from 4 2.5cm cores in corners of sq-meter box, 2mm screen, homogenize,10,-94.2340157,36.06577177,374,Qiagen PowerSoil,Alyssa Tidwell & Jennifer Lawrence,2018-11-18,ITS1f-Next,ITS2-Next,2018-12-01,,,2-Step PCR,i5_A503,i7_B701,,Woolsey_Wet_Prairie_WS_1.3_F,Woolsey_Wet_Prairie,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
